ID;NAME;SHORT_NAME;LATITUDE;LONGITUDE;LABEL_POS;VISIBLE;ACTIVE;CODE
1088;R. Parque;R. Parque;38,7455787658691;-9,20063400268555;T;Y;Y;2807
1089;R. Parque;R. Parque;38,7457313537598;-9,20047473907471;T;Y;Y;2808
1090;B.º Calhariz Benfica;B.º Calhariz Benfica;38,743091583252;-9,19823741912842;T;Y;Y;2809
1091;B.º Calhariz Benfica;B.º Calhariz Benfica;38,742130279541;-9,20016098022461;T;Y;Y;2810
1092;Est. Benfica;Est. Benfica;38,7447204589844;-9,19904327392578;T;Y;Y;2811
1093;Est. Benfica;Est. Benfica;38,7447319030762;-9,19917297363281;T;Y;Y;2812
1094;R. Jose Augusto Seabra;R. Jose Augusto Seabra;38,74417;-9,200241;T;Y;Y;2813
1095;R. Vasco Botelho Amaral;R. Vasco Botelho Amaral;38,743146;-9,202567;T;Y;Y;2814
1096;DAMAIA / R.GARCIA ORTA;DAMAIA / R.GARCIA ORTA;38,7500610351563;-9,2110481262207;T;Y;Y;2901
1097;R. D. MARIA II;R. D. MARIA II;38,7504997253418;-9,21229267120361;T;Y;Y;2902
1098;Benfica (Mercado);Benfica (Mercado);38,7492599487305;-9,20807552337646;T;Y;Y;2903
1099;B.º Sta. Cruz;B.º Sta. Cruz;38,7477111816406;-9,20703029632568;T;Y;Y;2905
1101;R. Casquilha;R. Casquilha;38,7459487915039;-9,20651435852051;T;Y;Y;2907
1102;R. Casquilha;R. Casquilha;38,7462615966797;-9,20650863647461;T;Y;Y;2908
1103;B.º Sta. Cruz;B.º Sta. Cruz;38,7478790283203;-9,20725345611572;T;Y;Y;2909
1104;B.º Sta. Cruz;B.º Sta. Cruz;38,7478294372559;-9,2073802947998;T;Y;Y;2910
1105;Est. Damaia;Est. Damaia;38,74811099;-9,214512;T;Y;Y;3001
1106;R. Bartolomeu Dias;R. Bartolomeu Dias;38,748038;-9,217079;T;Y;Y;3002
1107;Damaia - R. D. Francisco Almeida;Damaia - R. D. Francisco Almeida;38,7496185302734;-9,21280670166016;T;Y;Y;3003
1108;Damaia Cima;Damaia Cima;38,7469596862793;-9,22018432617188;T;Y;Y;3004
1109;Est. Damaia;Est. Damaia;38,747989654541;-9,21455860137939;T;Y;Y;3005
1110;R. Carvalho Araújo;R. Carvalho Araújo;38,7475700378418;-9,22126960754395;T;Y;Y;3006
